ID	Age	Batch
GEP_009	26	2
GEP_013	NA	2
GEP_014	56	2
GEP_016	65	2
GEP_017	22	2
GEP_020	54	2
GEP_022	27	2
GEP_034	68	1
GEP_036	48	1
GEP_043	81	1
GEP_046	NA	1
GEP_047	22	2
GEP_052	83	2
GEP_054	86	2
GEP_055	72	1
GEP_059	53	1
GEP_068	89	2
GEP_079	NA	2
GEP_083	67	2
GEP_094	75	1
GEP_096	83	2
GEP_097	83	1
GEP_098	72	2
GEP_101	26	1
GEP_102	61	1
GEP_103	63	1
GEP_110	72	1
GEP_114	NA	1
GEP_115	21	1
GEP_116	23	1
GEP_118	24	1
GEP_119	22	3
GEP_100	78	3
GEP_104	NA	3
GEP_105	63	3
GEP_106	19	3
GEP_108	71	3
GEP_109	25	3
GEP_111	NA	3
GEP_112	60	3
GEP_113	20	3
GEP_120	27	3
GEP_121	23	3
GEP_012	NA	3
GEP_018	65	3
GEP_019	64	3
GEP_021	48	3
GEP_024	39	3
GEP_025	25	3
GEP_026	58	3
GEP_030	33	3
GEP_031	85	3
GEP_035	NA	3
GEP_037	53	3
GEP_038	61	3
GEP_039	52	3
GEP_041	77	3
GEP_044	59	3
GEP_045	NA	3
GEP_048	49	3
GEP_004	46	3
GEP_050	87	3
GEP_051	66	3
GEP_053	76	3
GEP_056	60	3
GEP_058	82	3
GEP_060	51	3
GEP_063	63	3
GEP_064	NA	3
GEP_065	66	3
GEP_066	76	3
GEP_067	77	3
GEP_069	49	3
GEP_006	37	3
GEP_070	75	3
GEP_072	NA	3
GEP_073	NA	3
GEP_074	68	3
GEP_075	69	3
GEP_077	NA	3
GEP_078	67	3
GEP_081	79	3
GEP_084	22	3
GEP_087	72	3
GEP_089	NA	3
GEP_090	73	3
GEP_091	81	3
GEP_092	26	3
GEP_093	75	3
GEP_095	66	3
GEP_099	70	3
